Model	Path	Dataset	Features Percent	Latency (ms)	Binary Size (MB)	AUUC	AUQC	Precision@5	Precision@10	Precision@15	Precision@20	Precision@25	Precision@30	Precision@50	Compressions
SModel	exps2/lazada_v2_opt/50/4	lazada_v2_opt	50	0.0328426432609558	4.674399	0.0076868949958422	0.223121372401576	0.0876887304678799	0.0722374279012584	0.0674613021539746	0.0722374279012584	0.0646741772563032	0.0629796451952062	0.0570894180069221	{}
TModel	exps2/lazada_v2_opt/100/6	lazada_v2_opt	100	0.0329267835617065	18.192031	0.0055700163527111	0.2474888298919083	0.0811825289898877	0.0701879727603818	0.0665465318502871	0.0701879727603818	0.062440689957524	0.0597496162166041	0.0545516406233227	{}
TModel	exps2/lazada_v2_opt/100/7	lazada_v2_opt	100	0.0340773773193359	25.198151	0.0108380207013007	0.0744962657840584	0.1013509000096862	0.0799638362930207	0.0732040450799975	0.0799638362930207	0.0703048142979455	0.0677324633143651	0.062316256466409	{}
TModel	exps2/lazada_v2_opt/100/8	lazada_v2_opt	100	0.0326932716369628	1.08895	0.0150890723871488	0.3938182908718583	0.0816930182611853	0.0751905010036504	0.0710586383039089	0.0751905010036504	0.068987828587634	0.0679871987958099	0.0644237127662765	{}
TModel	exps2/lazada_v2_opt/100/9	lazada_v2_opt	100	0.031971800327301	0.728479	0.0010688848970227	0.1558256043945283	0.0703683929771728	0.0613544187129386	0.057733116668903	0.0613544187129386	0.056250878720356	0.0547908445486888	0.0505432024271132	{}
TModel	exps2/lazada_v2_opt/50/5	lazada_v2_opt	50	0.0207799196243286	19.764751	0.0081277757286861	0.1507468848460834	0.0891146605249668	0.0708168282301096	0.0671419186846997	0.0708168282301096	0.065072374740232	0.0627188549229271	0.0575128392258775	{}
TModel	exps2/lazada_v2_opt/50/6	lazada_v2_opt	50	0.0207924938201904	0.162062	-0.0002323607516457	0.1918130641872471	0.0708002047063973	0.0609723396587702	0.0583630227777383	0.0609723396587702	0.0553102567350975	0.0535022230399452	0.0486340744106818	{}
TModel	exps2/lazada_v2_opt/50/7	lazada_v2_opt	50	0.0198466491699218	16.839231	0.0025120398048293	0.3053907914169319	0.0781564982137282	0.0632759627357464	0.0591135809472101	0.0632759627357464	0.0567078628107986	0.0545900060242663	0.0502647048934946	{}
TModel	exps2/lazada_v2_opt/50/8	lazada_v2_opt	50	0.0190351152420043	0.087638	0.0031256342626601	0.4019639262713575	0.0816658004158004	0.0658425441955472	0.061379109425364	0.0658425441955472	0.0585417939840748	0.0558323575763242	0.0507241945121541	{}
TModel	exps2/lazada_v2_opt/50/9	lazada_v2_opt	50	0.0192331671714782	10.042303	0.0014625519416989	-0.0306681007817599	0.0872014787659995	0.0688932471403241	0.0639309626657121	0.0688932471403241	0.0608849015105848	0.0589548997053716	0.0534427598819366	{}
SModel	exps2/lazada_v2_opt/100/10	lazada_v2_opt	100	0.0138462233543395	0.130001	-0.0043157271419862	0.1638011936070711	0.0707144918190545	0.0589636729580224	0.0535469124925438	0.0589636729580224	0.0511513556154881	0.048838819469988	0.0447146148626729	{}
SModel	exps2/lazada_v2_opt/100/11	lazada_v2_opt	100	0.0139029431343078	0.068477	-0.0149109018051109	-0.0371229877809033	0.0477124288680513	0.041903990712611	0.0396886861221088	0.041903990712611	0.0383870217950619	0.0381253917869386	0.0370306052070199	{}
SModel	exps2/lazada_v2_opt/100/12	lazada_v2_opt	100	0.0163332891464233	2.250781	0.0068246172243732	0.1868094113803551	0.0856124360647822	0.0727922705053724	0.0678971800572827	0.0727922705053724	0.0653385931050084	0.0635035397425067	0.0563371834815336	{}
TModel	exps2/lazada_v2_opt/100/13	lazada_v2_opt	100	0.0310429072380065	0.467686	0.0038991729429429	0.2151017039817835	0.0795072768093148	0.0671259365666851	0.0628436559809108	0.0671259365666851	0.0598475940844067	0.0576066178924187	0.0521661610919675	{}
SModel	exps2/lazada_v2_opt/100/14	lazada_v2_opt	100	0.0150558376312255	0.934676	0.0026813141532425	0.2757671648937523	0.0714902981400162	0.0630807122432414	0.059958129677386	0.0630807122432414	0.0571086426937579	0.0547511248683017	0.0503290920051304	{}
TModel	exps2/lazada_v2_opt/100/15	lazada_v2_opt	100	0.0291122150421142	0.908967	0.0049299747953031	0.2380127042473127	0.0905792438917472	0.0680962281376251	0.0640247423850899	0.0680962281376251	0.0610562764573276	0.0587206758057364	0.0529343995758015	{}
SModel	exps2/lazada_v2_opt/100/16	lazada_v2_opt	100	0.0182276701927185	3.680384	0.0068793815109348	0.1781087568207602	0.0929793546794812	0.0753793540694041	0.0710119388554362	0.0753793540694041	0.0672051293040928	0.0637378368915431	0.0566325857602028	{}
XModel	exps2/lazada_v2_opt/100/17	lazada_v2_opt	100	0.0259346914291381	0.667577	-0.0034597247972323	0.2751702664474046	0.0992630289001599	0.0629030412016468	0.0566860715508037	0.0629030412016468	0.0535149656526542	0.0506845056039854	0.0434847596944571	{}
DRModel	exps2/lazada_v2_opt/100/18	lazada_v2_opt	100	0.084532470703125	9.101834	0.008612942983963659	0.259955888684777	0.09637857004245926	0.07118217208404921	0.06698846741826053	0.07118217208404921	0.06400485107568618	0.06208086400108308	0.05681444991789819	{}
